JOB_TITLE,WAGE_RATE_OF_PAY_FROM,WORKSITE_ADDRESS1,WORKSITE_CITY,WORKSITE_STATE,BEGIN_DATE,CASE_STATUS,SOC_TITLE,VISA_CLASS
"AI DEVELOPER",130000,"575 WASHINGTON BOULEVARD","JERSEY CITY","NJ","6/21/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Analyst",121000,"1230 Avenue of the Americas","New York","NY","7/2/23","Certified - Withdrawn","Management Analysts","H-1B"
"Analyst",85000,"560 Mission St.","San Francisco","CA","10/1/21","Certified - Withdrawn","Financial Analysts","H-1B"
"Analyst",90000,"383 Madison Ave.","New York","NY","10/1/21","Certified - Withdrawn","Financial Analysts","H-1B"
"Analyst, Retained Lending Financial Control",68500,"4041 Ogletown Rd.","Newark","DE","8/16/21","Certified - Withdrawn","Accountants","H-1B"
"APPLIED AI ML ASSOCIATE SENIOR",150000,"383 MADISON AVENUE","NEW YORK","NY","2/25/21","Certified - Withdrawn","Computer and Information Research Scientists","H-1B"
"Associate",175000,"560 Mission Street","San Francisco","CA","12/11/23","Certified","Financial and Investment Analysts","H-1B"
"Associate",175000,"383 Madison Ave","New York","NY","12/18/23","Certified","Financial and Investment Analysts","H-1B1 Singapore"
"Associate",130000,"545 Washington Blvd.","Jersey City","NJ","5/24/21","Certified - Withdrawn","Financial Quantitative Analysts","H-1B"
"ASSOCIATE",80000,"4 CHASE METROTECH CENTER","BROOKLYN","NY","6/1/21","Certified - Withdrawn","Accountants","H-1B"
"ASSOCIATE",105000,"4 METROTECH CENTER","BROOKLYN","NY","1/4/21","Certified - Withdrawn","Statisticians","H-1B"
"Associate",117300,"8181 Communications Pkwy","Plano","TX","5/7/21","Certified - Withdrawn","Database Administrators","H-1B"
"ASSOCIATE",71300,"500 STANTON CHRISTIANA ROAD","NEWARK","DE","7/31/21","Certified - Withdrawn","Business Intelligence Analysts","H-1B"
"ASSOCIATE",127500,"201 N WALNUT STREET","WILMINGTON","DE","8/28/21","Certified - Withdrawn","Statisticians","H-1B"
"ASSOCIATE INSTITUTIONAL STRATEGY",135000,"277 PARK AVENUE","NEW YORK","NY","10/12/21","Certified - Withdrawn","Statisticians","H-1B"
"ASSOCIATE SENIOR AUDITOR",110000,"480 WASHINGTON BOULEVARD","JERSEY CITY","NJ","9/27/21","Certified - Withdrawn","Accountants and Auditors","H-1B"
"ASSOCIATE SOFTWARE ENGINEER",140000,"450 W 33RD STREET","NEW YORK","NY","1/24/22","Certified - Withdrawn","Software Developers, Applications","H-1B"
"ASSOCIATE SOFTWARE ENGINEER",133000,"8181 COMMUNICATIONS PARKWAY","PLANO","TX","11/29/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"ASSOCIATE SOFTWARE ENGINEER",125000,"880 POWDER MILL ROAD","WILMINGTON","DE","10/25/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"ASSOCIATE SOFTWARE ENGINEER",120000,"8181 COMMUNICATIONS PARKWAY","PLANO","TX","10/18/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"ASSOCIATE SR USER EXPERIENCE DESIGNER",125000,"575 WASHINGTON BOULEVARD","JERSEY CITY","NJ","2/13/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Associate, Analytics Solutions & Delivery",99500,"545 Washington Blvd","Jersey City","NJ","4/7/24","Certified","Financial Quantitative Analysts","H-1B"
"Associate, Applications Support",109500,"10410 Highland Manor Drive","Tampa","FL","5/30/24","Certified","Network and Computer Systems Administrators","H-1B"
"Associate, Applications Support",89419,"1111 Polaris Pkwy","Columbus","OH","5/21/24","Certified","Computer Systems Engineers/Architects","E-3 Australian"
"Associate, Applications Support",128000,"575 Washington Blvd","Jersey City","NJ","4/7/24","Certified","Computer Systems Engineers/Architects","H-1B"
"Associate, Applications Support",106600,"1111 Polaris Pkwy","Columbus","OH","5/22/24","Certified","Software Developers","H-1B"
"Associate, Applications Support",120000,"880 Powder Mill Rd","Wilmington","DE","11/1/23","Certified","Computer Systems Engineers/Architects","H-1B"
"Associate, Applications Support",110000,"8181 Communications Parkway","Plano","TX","12/19/22","Certified - Withdrawn","Computer Systems Engineers/Architects","H-1B"
"ASSOCIATE, APPLICATIONS SUPPORT",120000,"10410 HIGHLAND MANOR DRIVE ","TAMPA","FL","4/4/22","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Associate, Applied AI & Machine Learning",145000,"2800 E Cottonwood Pkwy","Salt Lake City","UT","1/22/24","Certified","Computer and Information Research Scientists","H-1B"
"Associate, Applied AI and ML",160000,"8181 Communications Pkwy","Plano","TX","10/12/23","Certified","Software Developers","H-1B"
"Associate, Applied AI ML Associate Sr",166920,"383 Madison Avenue","New York","NY","4/12/24","Certified","Data Scientists","H-1B"
"Associate, Automated Trading Strategist",200000,"383 Madison Ave","New York","NY","10/16/23","Certified","Financial Quantitative Analysts","E-3 Australian"
"Associate, Business Analysis & Reporting",85494,"545 Washington Boulevard","Jersey City","NJ","3/8/24","Certified","Financial and Investment Analysts","H-1B"
"Associate, CIB Assoc 2021 S and T",200000,"383 Madison Avenue","New York","NY","5/3/24","Certified","Financial Quantitative Analysts","H-1B"
"Associate, CIB Assoc 2021 S&T",200000,"383 Madison Avenue","New York","NY","5/23/24","Certified","Operations Research Analysts","H-1B"
"Associate, CIB Risk Associate",150000,"545 Washington Blvd","Jersey City","NJ","2/7/24","Certified","Database Architects","H-1B"
"ASSOCIATE, CREDIT RISK",120000,"8181 COMMUNICATIONS PARKWAY","PLANO ","TX","9/9/22","Certified - Withdrawn","Financial Quantitative Analysts","H-1B"
"Associate, Cybersecurity Operations",155000,"575 Washington Boulevard","Jersey City","NJ","11/14/23","Certified","Information Security Analysts","H-1B1 Singapore"
"Associate, Data Engineering",133100,"8181 Communications Pkwy","Plano","TX","4/8/24","Certified","Software Developers","H-1B"
"Associate, Data Owner",135000,"8181 Communications Pkwy","Plano","TX","1/8/24","Certified","Business Intelligence Analysts","H-1B"
"Associate, Data Owner Associate Sr",145000,"8181 Communications Pkwy","Plano","TX","12/22/23","Certified","Data Scientists","H-1B"
"Associate, Data Scientist",125000,"1111 Polaris Parkway","Columbus","OH","12/11/23","Certified","Data Scientists","H-1B"
"Associate, Data Scientist",161600,"575 Washington Blvd","Jersey City","NJ","4/13/24","Certified","Data Scientists","H-1B"
"Associate, Data Scientist",125000,"383 Madison Avenue","New York","NY","3/20/23","Certified - Withdrawn","Data Scientists","H-1B"
"ASSOCIATE, DATA SCIENTIST",120000,"201 N WALNUT ST","WILMINGTON","DE","10/30/20","Certified - Withdrawn","Operations Research Analysts","H-1B"
"Associate, Data Scientist ",125000,"277 Park Avenue","New York","NY","1/29/21","Certified - Withdrawn","Financial Quantitative Analysts","H-1B"
"Associate, Data Scientist Associate Sr",137500,"480 Washington Blvd","Jersey City","NJ","5/8/24","Certified","Statisticians","H-1B"
"Associate, Data Scientist Associate Sr",125000,"8181 Communications Parkway","Plano","TX","5/29/24","Certified","Data Scientists","H-1B"
"Associate, Data Scientist Associate Sr.",110000,"10 S. Dearborn St.","Chicago","IL","5/9/24","Certified","Operations Research Analysts","H-1B"
"Associate, Data Visualization",110000,"201 North Walnut Street","Wilmington","DE","4/9/24","Certified","Financial Quantitative Analysts","H-1B"
"ASSOCIATE, DATABASE MANAGEMENT",117000,"10 SOUTH DEARBORN STREET","CHICAGO","IL","7/12/21","Certified - Withdrawn","Database Administrators","H-1B"
"Associate, E-Markets Associate",200000,"383 Madison Ave.","New York","NY","5/8/24","Certified","Financial Quantitative Analysts","H-1B"
"Associate, External Reporting Controller",111909.5,"4 MetroTech Center","Brooklyn","NY","3/16/24","Certified","Financial Quantitative Analysts","H-1B"
"Associate, Infrastructure Engineer",130100,"6 High Ridge Park","Stamford","CT","1/31/24","Certified","Computer Systems Engineers/Architects","H-1B"
"Associate, Infrastructure Engineer",130100,"6 High Ridge Park","Stamford","CT","1/31/24","Certified","Computer Systems Engineers/Architects","H-1B"
"Associate, Infrastructure Engineer II",125000,"8181 Communications Parkway","Plano","TX","4/23/24","Certified","Software Developers","H-1B"
"Associate, Infrastructure Engineering",117700,"8375 Dominion Parkway","Plano","TX","3/7/24","Certified","Computer Systems Engineers/Architects","H-1B"
"Associate, Investment Bank Trading",200000,"383 Madison Avenue","New York","NY","4/11/24","Certified","Financial Quantitative Analysts","H-1B"
"Associate, Investment Banking",175000,"383 Madison Ave.","New York","NY","1/17/24","Certified","Financial and Investment Analysts","E-3 Australian"
"Associate, Investment Banking",175000,"383 Madison Ave.","New York","NY","10/1/22","Certified - Withdrawn","Financial Analysts","H-1B"
"Associate, Investment Grade Finance",175000,"383 Madison Avenue","New York","NY","1/17/24","Certified","Financial Quantitative Analysts","H-1B"
"Associate, Investment Specialist",150000,"390 Madison Avenue","New York","NY","5/17/24","Certified","Financial and Investment Analysts","H-1B"
"Associate, Investor",150000,"390 Madison Ave","New York","NY","5/3/24","Certified","Financial and Investment Analysts","H-1B"
"Associate, Latam Syndicate Loan Coordinator",90000,"383 Madison Avenue","New York","NY","10/16/23","Certified","Operations Research Analysts","H-1B"
"Associate, Lead Software Engineer",170000,"4 Chase Metrotech Ctr","Brooklyn","NY","12/22/23","Certified","Software Developers","H-1B"
"Associate, Lead Software Engineer",155000,"JPMorgan Chase & Co., 575 Washington Boulevard","Jersey City","NJ","10/17/20","Certified - Withdrawn","Software Developers, Systems Software","H-1B"
"Associate, Model Risk Governance and Review",132500,"545 Washington Boulevard","Jersey City","NJ","1/22/24","Certified","Software Developers","H-1B"
"ASSOCIATE, PRIVATE EQUITY AND REAL ESTATE SERVICES",83300,"4 CHASE METROTECH CENTER","BROOKLYN","NY","6/18/21","Certified - Withdrawn","Accountants","H-1B"
"Associate, Process Improvement",118939,"8181 Communications Pkwy","Plano","TX","12/4/23","Certified","Operations Research Analysts","H-1B"
"Associate, Process Improvement Assoc. II",110000,"1111 Polaris Pkwy","Columbus","OH","1/8/24","Certified","Operations Research Analysts","H-1B"
"Associate, Product Controller",125000,"277 Park Ave","New York","NY","11/6/23","Certified","Accountants and Auditors","H-1B"
"Associate, Product Owner",140000,"8181 Communications Pwky","Plano","TX","10/16/23","Certified","Project Management Specialists","H-1B"
"Associate, Product Owner",140000,"8181 Communications Pkwy","Plano","TX","1/5/24","Certified","Project Management Specialists","H-1B"
"Associate, Project Manager",110000,"8181 COMMUNICATIONS PARKWAY","PLANO","TX","8/29/22","Certified - Withdrawn","Computer Systems Analysts","H-1B"
"Associate, Quant Analytics",101500,"1111 Polaris Pkwy","Columbus","OH","9/30/23","Certified","Statisticians","H-1B"
"Associate, Quant Analytics",95000,"1111 Polaris Parkway","Columbus","OH","12/13/23","Certified","Operations Research Analysts","H-1B"
"Associate, Quant Analytics",130000,"201 N Walnut St","Wilmington","DE","11/27/23","Certified","Business Intelligence Analysts","H-1B"
"Associate, Quant Analytics",140000,"8181 Communications Pkwy","Plano","TX","1/5/24","Certified","Financial Quantitative Analysts","H-1B"
"Associate, Quant Modeling Assoc",120000,"390 Madison Ave","New York","NY","5/22/24","Certified","Financial Quantitative Analysts","H-1B"
"ASSOCIATE, QUANT RESEARCH",150000,"ONE LIBERTY SQUARE","BOSTON","MA","5/31/21","Certified - Withdrawn","Mathematicians","H-1B"
"ASSOCIATE, QUANTITATIVE MODELING",140000,"450 WEST 33RD STREET ","NEW YORK","NY","12/16/20","Certified - Withdrawn","Operations Research Analysts","H-1B"
"Associate, Quantitative Modeling",130000,"450 W 33rd Street","New York","NY","1/6/21","Certified - Withdrawn","Computer Systems Engineers/Architects","H-1B"
"ASSOCIATE, QUANTITATIVE MODELING",126500,"201 N. WALNUT STREET","WILMINGTON","DE","6/3/21","Certified - Withdrawn","Financial Quantitative Analysts","H-1B"
"Associate, Quantitative Research",150000,"383 Madison Ave","New York","NY","11/1/23","Certified","Financial Quantitative Analysts","H-1B"
"Associate, Quantitative Research",160000,"383 MADISON AVENUE","NEW YORK","NY","9/6/21","Certified - Withdrawn","Financial Quantitative Analysts","H-1B"
"Associate, Quantitative Research â€“ Credit Markets",175000,"383 Madison Ave","New York","NY","11/1/23","Certified","Financial Quantitative Analysts","H-1B"
"Associate, Risk Analytics/Modeling ",97250,"8181 Communications Pkwy","Plano","TX","12/8/22","Certified - Withdrawn","Operations Research Analysts","H-1B"
"Associate, Senior Auditor",86500,"480 WASHINGTON BLVD.","JERSEY CITY","NJ","9/18/21","Certified - Withdrawn","Auditors","H-1B"
"Associate, Software Engineer",150000,"880 Powder Mill Rd","Wilmington","DE","12/22/23","Certified","Software Developers","H-1B"
"Associate, Software Engineer",130000,"1111 Polaris Pkwy","Columbus","OH","10/23/23","Certified","Software Developers","H-1B"
"Associate, Software Engineer",127900,"8181 Communications Pkwy","Plano","TX","12/18/23","Certified","Software Developers","H-1B"
"Associate, Software Engineer",122000,"370 S. Cleveland Ave","Westerville","OH","3/15/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer",133000,"8181 Communications Pkwy","Plano","TX","5/25/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer",130000,"8181 Communications Pkwy","Plano","TX","5/25/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer",119000,"4915 Independence Parkway","Tampa","FL","5/1/24","Certified","Software Developers","E-3 Australian"
"Associate, Software Engineer",141000,"600 Travis St.","Houston","TX","12/4/23","Certified","Software Developers","H-1B"
"Associate, Software Engineer",120000,"301 N Walnut Street","Wilmington","DE","4/9/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer",140000,"10 S Dearborn St","Chicago","IL","12/4/23","Certified","Software Developers","H-1B"
"Associate, Software Engineer",152500,"545 Washington Blvd","Jersey City","NJ","3/14/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer",124800,"880 Powder Mill Rd","Wilmington","DE","4/16/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer",160000,"545 Washington Blvd","Jersey City","NJ","10/30/23","Certified","Software Developers","H-1B"
"Associate, Software Engineer",129600,"301 N Walnut Street","Wilmington","DE","2/22/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer",125800,"500 Stanton Christiana Road","Newark","DE","3/19/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer",132570,"10 S. Dearborn St.","Chicago","IL","4/11/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer",135000,"10420 Highland Manor Dr","Tampa","FL","10/23/23","Certified","Software Developers","H-1B"
"Associate, Software Engineer",152000,"575 Washington Blvd","Jersey City","NJ","4/13/24","Certified","Computer Systems Engineers/Architects","H-1B"
"Associate, Software Engineer",135000,"8181 Communications Pkwy","Plano","TX","11/27/23","Certified","Software Developers","H-1B"
"Associate, Software Engineer",101300,"1111 Polaris Parkway","Columbus","OH","5/30/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer",150100,"575 Washington Boulevard","Jersey City","NJ","3/15/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer",160000,"575 Washington Blvd","Jersey City","NJ","10/30/23","Certified","Software Developers","H-1B"
"Associate, Software Engineer",111400,"8181 Communications Pkwy","Plano","TX","11/27/23","Certified","Software Developers","H-1B"
"Associate, Software Engineer",110000,"600 TRAVIS STREET","HOUSTON","TX","8/15/22","Certified - Withdrawn","Software Developers, Applications","H-1B"
"ASSOCIATE, SOFTWARE ENGINEER",110000,"8181 COMMUNICATIONS PARKWAY","PLANO","TX","7/18/22","Certified - Withdrawn","Software Developers, Applications","H-1B"
"ASSOCIATE, SOFTWARE ENGINEER",132000,"880 POWDER MILL ROAD","WILMINGTON","DE","7/5/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Associate, Software Engineer",135000,"500 STANTON CHRISTIANA ROAD","NEWARK","DE","6/20/22","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Associate, Software Engineer",130000,"8181 COMMUNICATIONS PARKWAY","PLANO","TX","6/21/22","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Associate, Software Engineer",123000,"1111 FANNIN STREET","HOUSTON","TX","7/19/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Associate, Software Engineer",126000,"575 Washington Blvd.","Jersey City","NJ","5/18/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Associate, Software Engineer",115000,"8181 Communications Parkway","Plano","TX","1/19/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"ASSOCIATE, SOFTWARE ENGINEER",115000,"8181 COMMUNICATIONS PARKWAY","PLANO","TX","12/22/20","Certified - Withdrawn","Software Developers, Applications","H-1B"
"ASSOCIATE, SOFTWARE ENGINEER",120000,"300 NORTH KING STREET","WILMINGTON","DE","10/15/20","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Associate, Software Engineer",140000,"500 STANTON CHRISTIANA ROAD","NEWARK","DE","9/26/22","Certified - Withdrawn","Software Developers","H-1B"
"Associate, Software Engineer",119000,"880 Powder Mill Rd.","Wilmington","DE","2/5/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Associate, Software Engineer",130000,"8181 Communications Pkwy","Plano","TX","5/15/23","Certified - Withdrawn","Software Developers","H-1B"
"Associate, Software Engineer",140000,"8181 Communications Pkwy","Plano","TX","2/27/23","Certified - Withdrawn","Software Developers","H-1B"
"Associate, Software Engineer",111400,"4915 Independence Parkway","Tampa","FL","9/5/22","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Associate, Software Engineer",113325,"4900 Memorial Hwy.","Tampa","FL","10/1/22","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Associate, Software Engineer",130300,"560 Mission St","San Francisco","CA","8/1/22","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Associate, Software Engineer",150000,"575 WASHINGTON BOULEVARD","JERSEY CITY","NJ","2/28/22","Certified - Withdrawn","Software Developers, Applications","H-1B"
"ASSOCIATE, SOFTWARE ENGINEER",130000,"8181 COMMUNICATIONS PARKWAY","PLANO","TX","2/14/22","Certified - Withdrawn","Software Developers, Applications","H-1B"
"ASSOCIATE, SOFTWARE ENGINEER",113450,"450 W. 33RD STREET","NEW YORK","NY","9/7/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Associate, Software Engineer",115000,"8181 Communications Pkwy.","Plano","TX","10/1/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Associate, Software Engineer",140000,"575 WASHINGTON BOULEVARD","JERSEY CITY","NJ","9/27/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"ASSOCIATE, SOFTWARE ENGINEER",115000,"600 TRAVIS STREET","HOUSTON","TX","8/30/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Associate, Software Engineer",115000,"8181 COMMUNICATIONS PARKWAY","PLANO","TX","9/27/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Associate, Software Engineer",120000,"545 Washington Blvd","Jersey City","NJ","12/9/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"ASSOCIATE, SOFTWARE ENGINEER",125000,"8181 COMMUNICATIONS PARKWAY","PLANO","TX","11/30/20","Certified - Withdrawn","Software Developers, Applications","H-1B"
"ASSOCIATE, SOFTWARE ENGINEER",125000,"2777 LAKE VISTA DRIVE","LEWISVILLE","TX","11/16/20","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Associate, Software Engineer",104400,"8181 Communications Parkway","Plano","TX","9/17/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Associate, Software Engineer ",130000,"880 Powder Mill Rd","Wilmington","DE","6/21/22","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Associate, Software Engineer ",150000,"1201 3rd Avenue ","Seattle","WA","5/20/22","Certified - Withdrawn","Software Developers, Systems Software","H-1B"
"Associate, Software Engineer ",124900,"8181 Communications Parkway ","Plano","TX","11/28/22","Certified - Withdrawn","Software Developers","H-1B"
"Associate, Software Engineer ",140000,"8181 Communications Parkway","Plano","TX","9/5/22","Certified - Withdrawn","Software Developers","H-1B"
"Associate, Software Engineer ",130000,"8181 Communications Parkway","Plano","TX","7/25/22","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Associate, Software Engineer ",135000,"4 New York Plaza","New York","NY","4/1/22","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Associate, Software Engineer II",109500,"880 Powder Mill Rd","Wilmington","DE","5/30/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer II",125000,"575 Washington Blvd","Jersey City","NJ","5/8/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",140000,"10410 Highland Manor Dr","Tampa","FL","1/30/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",115000,"880 Powder Mill Rd","Wilmington","DE","6/13/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",118000,"4915 Independance Parkway","Tampa","FL","6/1/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",130000,"8181 Communications Parkway","Plano","TX","6/12/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",145000,"575 Washington Blvd","Jersey City","NJ","5/25/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",139000,"8181 Communications Pkwy","Plano","TX","5/17/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",114300,"880 Powder Mill Road","Wilmington","DE","6/5/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",126000,"8181 Communications Pkwy","Plano","TX","6/5/24","Certified","Computer Systems Analysts","H-1B"
"Associate, Software Engineer III",120000,"1111 Polaris Pkwy","Columbus","OH","1/8/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",180000,"3223 Hanover St.","Palo Alto","CA","2/1/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",130100,"8181 Communications Pkwy","Plano","TX","6/1/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",119700,"10420 Highland Manor Dr","Tampa","FL","5/30/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",129200,"1111 Polaris Pkwy","Columbus","OH","1/10/24","Certified","Database Administrators","H-1B"
"Associate, Software Engineer III",127800,"8181 Communications Pkwy","Plano","TX","5/10/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",119300,"4915 Independence Pkwy","Tampa","FL","5/31/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",121500,"880 Powder Mill Road","Wilmington","DE","5/30/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",123500,"4915 Independence Parkway","Tampa","FL","5/31/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",125000,"880 Powder Mill Road","Wilmington","DE","5/28/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",128000,"4915 Independence Parkway","Tampa","FL","5/30/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",117000,"370 South Cleveland Avenue","Westerville","OH","3/29/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",124000,"8181 Communications Pkwy","Plano","TX","5/25/24","Certified","Software Developers","H-1B"
