JOB_TITLE,WAGE_RATE_OF_PAY_FROM,WORKSITE_ADDRESS1,WORKSITE_CITY,WORKSITE_STATE,BEGIN_DATE,CASE_STATUS,SOC_TITLE,VISA_CLASS
"Associate, Software Engineer III",130000,"8181 Communications Pkwy","Plano","TX","5/24/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",140000,"8181 Communications Pkwy","Plano","TX","5/24/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",116300,"8181 Communications Pkwy","Plano","TX","5/25/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",139500,"8181 Communications Pkwy","Plano","TX","5/29/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",166300,"3223 Hanover St","Palo Alto","CA","4/29/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",128500,"10 South Dearborn St","Chicago","IL","5/23/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",133900,"8181 Communications Parkway","Plano","TX","5/21/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",117000,"370 South Cleveland Avenue","Westerville","OH","3/29/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",125700,"8181 Communications Pkwy.","Plano","TX","5/24/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",116600,"600 Travis Street","Houston","TX","5/24/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",131900,"10 S Dearborn Street","Chicago","IL","5/11/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",115000,"600 Travis St","Houston","TX","5/18/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",148400,"450 W 33rd St","New York","NY","2/20/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",130000,"600 Travis St","Houston","TX","5/14/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",126500,"880 Powder Mill Road","Wilmington","DE","3/22/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",139900,"301 N Walnut Street","Wilmington","DE","5/8/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",147900,"5 Manhattan West","New York","NY","5/8/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",136000,"383 Madison Ave","New York","NY","5/7/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",123200,"8181 Communications Pkwy","Plano","TX","1/29/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",124100,"10410 Highland Manor Dr","Tampa","FL","5/3/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",118000,"1111 Polaris Pkwy","Columbus","OH","5/3/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",134295,"10 S. Dearborn St.","Chicago","IL","4/13/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",150000,"8181 Communications Pkwy","Plano","TX","4/12/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",118500,"1111 Polaris Parkway","Columbus","OH","5/4/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",130600,"8181 Communications Pkwy","Plano","TX","4/24/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",140000,"8181 Communications Pkwy","Plano","TX","11/14/23","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",111700,"1111 Polaris Parkway","Columbus","OH","5/8/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",124100,"1111 Polaris Parkway","Columbus","OH","5/8/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",140000,"8181 Communications Pkwy","Plano","TX","11/27/23","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",126500,"880 Powder Mill Road","Wilmington","DE","3/23/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",121400,"1111 Polaris Pkwy","Columbus","OH","5/9/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",124200,"8181 Communications Pkwy","Plano","TX","4/15/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",109200,"1111 Polaris Parkway","Columbus","OH","5/10/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",174200,"1201 3rd Ave","Seattle","WA","4/12/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",174200,"1201 3rd Ave","Seattle","WA","4/12/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",140000,"10 S Dearborn St.","Chicago","IL","11/15/23","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",124100,"1111 Polaris Parkway","Columbus","OH","5/22/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",118700,"1111 Polaris Parkway","Columbus","OH","5/23/24","Certified","Software Developers","H-1B"
"Associate, Software Engineer III",116800,"370 South Cleveland Ave","Westerville","OH","6/1/24","Certified","Software Developers","H-1B"
"Associate, Software Engineering",128000,"4915 Independence Pkwy","Tampa","FL","3/8/24","Certified","Software Developers","H-1B"
"Associate, Software Engineering",117200,"1111 Polaris Pkwy","Columbus","OH","3/8/24","Certified","Software Developers","H-1B"
"Associate, Software Engineering",112700,"8181 Communications Pkwy","Plano","TX","5/2/24","Certified","Software Developers","H-1B"
"Associate, Software Engineering",117000,"600 Travis St","Houston","TX","5/18/24","Certified","Software Developers","H-1B"
"Associate, Software Engineering",126000,"600 Travis St","Houston","TX","5/14/24","Certified","Software Developers","H-1B"
"Associate, Software Engineering",131900,"8181 Communications Pkwy","Plano","TX","4/27/24","Certified","Software Developers","H-1B"
"Associate, Software Engineering",137700,"10 S. Dearborn St.","Chicago","IL","2/16/24","Certified","Software Developers","H-1B"
"Associate, Software Engineering",129900,"880 Powder Mill Road","Wilmington","DE","4/9/24","Certified","Software Developers","H-1B"
"Associate, Software Engineering",130000,"500 Stanton Christiana Rd","Newark","DE","4/19/24","Certified","Software Developers","H-1B"
"Associate, Software Engineering",149500,"450 W 33rd St","New York","NY","4/19/24","Certified","Software Developers","H-1B"
"Associate, Software Engineering",128800,"4915 Independence Pkwy","Tampa","FL","3/8/24","Certified","Software Developers","H-1B"
"Associate, Software Engineering",123600,"880 Powder Mill Rd","Wilmington","DE","4/4/24","Certified","Software Developers","H-1B"
"Associate, Software Engineering",150700,"545 Washington Blvd","Jersey City","NJ","4/10/24","Certified","Software Developers","H-1B"
"Associate, Software Engineering",130100,"880 Powder Mill Rd","Wilmington","DE","12/31/23","Certified","Software Developers","H-1B"
"Associate, Software Engineering",122000,"8181 Communications Pkwy","Plano","TX","11/15/23","Certified","Software Developers","H-1B"
"Associate, Software Engineering",117000,"10420 Highland Manor Dr","Tampa","FL","1/10/24","Certified","Software Developers","H-1B"
"Associate, Software Engineering",132000,"8181 Communications Pkwy","Plano","TX","3/7/24","Certified","Software Developers","H-1B"
"Associate, Software Engineering",127500,"8181 Communications Pkwy","Plano","TX","3/8/24","Certified","Software Developers","H-1B"
"Associate, Software Engineering",117000,"10420 Highland Manor Dr","Tampa","FL","3/27/24","Certified","Software Developers","H-1B"
"Associate, Software Engineering",118800,"10410 Highland Manor Dr","Tampa","FL","3/27/24","Certified","Software Developers","H-1B"
"Associate, Software Engineering",112600,"4951 Lake Brook Drive","Glen Allen","VA","3/27/24","Certified","Software Developers","H-1B"
"Associate, Software Engineering",138000,"880 Powder Mill Rd","Wilmington","DE","2/12/24","Certified","Software Developers","H-1B"
"Associate, Software Engineering",138000,"575 Washington Blvd","Jersey City","NJ","11/26/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"ASSOCIATE, SOFTWARE ENGINEERING",111000,"4915 INDEPENDENCE PARKWAY","TAMPA","FL","2/24/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Associate, Software Engineering",133000,"545 Washington Blvd","Jersey City","NJ","5/4/22","Certified - Withdrawn","Software Developers, Applications","H-1B"
"ASSOCIATE, SOFTWARE ENGINEERING",119000,"450 WEST 33RD STREET","NEW YORK","NY","10/26/20","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Associate, Software Engineering",103800,"500 Stanton Christiana Road","Newark","DE","4/3/22","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Associate, Software Engineering",135000,"545 Washington Blvd","Jersey City","NJ","5/20/22","Certified - Withdrawn","Software Developers, Applications","H-1B"
"ASSOCIATE, SOFTWARE ENGINEERING",99400,"880 POWDER MILL ROAD","WILMINGTON","DE","10/16/20","Certified - Withdrawn","Computer Systems Engineers/Architects","H-1B"
"Associate, Sr. Marketing Finance ",80000,"201 N. Walnut St.","Wilmington","DE","9/27/21","Certified - Withdrawn","Financial Analysts","H-1B"
"Associate, SRE III",106558,"880 Powder Mill Road","Wilmington","DE","5/31/24","Certified","Computer Systems Analysts","H-1B"
"Associate, SRE III",106558,"880 Powder Mill Road","Wilmington","DE","5/31/24","Certified","Computer Systems Analysts","H-1B"
"Associate, Strategic Business Analyst II",115300,"301 N. Walnut Street","Wilmington","DE","12/6/21","Certified - Withdrawn","Operations Research Analysts","H-1B"
"BIG DATA ENGINEER",110800,"8181 COMMUNICATIONS PKWY","PLANO","TX","10/28/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Business Analyst",115000,"1111 Fannin St","Houston","TX","1/18/21","Certified - Withdrawn","Information Technology Project Managers","H-1B"
"CIB Risk Associate",150000,"383 Madison Avenue","New York","NY","4/16/24","Certified","Financial and Investment Analysts","H-1B1 Singapore"
"Data Management Associate Senior",129675,"575 Washington Blvd","Jersey City","NJ","1/8/24","Certified","Business Intelligence Analysts","H-1B"
"Data Scientist - Senior Associate",115000,"10 S. Dearborn St.","Chicago","IL","11/1/23","Certified","Data Scientists","H-1B"
"Data Scientist Associate Sr",140000,"480 Washington Blvd","Jersey City","NJ","4/5/24","Certified","Data Scientists","H-1B"
"Data Scientist Sr Associate",160000,"480 Washington Blvd","Jersey City","NJ","1/8/24","Certified","Financial Quantitative Analysts","H-1B"
"EMarkets VP",215000,"383 Madison Ave","New York","NY","11/1/23","Certified","Business Intelligence Analysts","H-1B"
"ESG, Data Management Lead",162573,"575 Washington Blvd","Jersey City","NJ","12/15/23","Certified","Computer Systems Engineers/Architects","H-1B"
"Exec. Dir., Director of Software Engineering",215000,"1111 Polaris Pkwy","Columbus","OH","5/8/24","Certified","Software Developers","H-1B"
"EXECUTIVE DIRECTOR",325000,"10 SOUTH DEARBORN STREET","CHICAGO","IL","11/3/21","Certified - Withdrawn","Treasurers and Controllers","E-3 Australian"
"EXECUTIVE DIRECTOR",170000,"8181 COMMUNICATIONS PARKWAY","PLANO","TX","3/23/21","Certified - Withdrawn","Management Analysts","H-1B"
"Executive Director Investment Specialist",275000,"390 Madison Avenue","New York","NY","5/4/24","Certified","Financial and Investment Analysts","H-1B1 Singapore"
"Executive Director, Analytics Solutions Manager",198800,"8181 Communications Parkway","Plano","TX","11/20/23","Certified","Management Analysts","E-3 Australian"
"Executive Director, Analytics Solutions Manager",198800,"8181 Communications Pkwy","Plano","TX","11/20/23","Certified","Management Analysts","E-3 Australian"
"Executive Director, Applied AI ML Director",260000,"1201 3rd Ave","Seattle","WA","5/29/24","Certified","Computer and Information Research Scientists","H-1B"
"Executive Director, Asset Management",350000,"277 Park Avenue","New York","NY","12/15/23","Certified","Financial Managers","E-3 Australian"
"Executive Director, Client Management",325000,"383 Madison Avenue","New York","NY","4/18/24","Certified","Financial and Investment Analysts","H-1B"
"Executive Director, Client Management",350000,"383 Madison Ave","New York","NY","3/22/24","Certified","Financial Managers","H-1B"
"Executive Director, Data Science",260000,"383 Madison Ave","New York","NY","3/2/24","Certified","Financial Managers","E-3 Australian"
"Executive Director, Origination/Client Manager",325000,"383 Madison Avenue","New York","NY","3/28/24","Certified","Financial and Investment Analysts","H-1B"
"Executive Director, Product Management",245000,"575 Washington Blvd","Jersey City","NJ","4/7/24","Certified","Software Developers","H-1B"
"Executive Director, Quant Analytics",210000,"450 W 33rd Street","New York","NY","5/22/24","Certified","Financial Quantitative Analysts","H-1B"
"Executive Director, Quant Analytics",260000,"480 Washington Blvd","Jersey City","NJ","11/6/23","Certified","Operations Research Analysts","H-1B"
"Executive Director, Research Analyst",225000,"277 Park Avenue","New York","NY","5/16/24","Certified","Financial Quantitative Analysts","H-1B"
"Executive Director, Software Engineering",260000,"880 Powder Mill Rd","Wilmington","DE","2/26/24","Certified","Software Developers","H-1B"
"Executive Director, Sr Director of Software Engineering",325000,"560 Mission St","San Francisco","CA","3/22/24","Certified","Computer and Information Systems Managers","H-1B"
"Executive Director, Strategy Manager - Senior",260000,"237 Park Ave","New York","NY","12/29/23","Certified","Management Analysts","H-1B"
"Full Stack Java Software Engineer",160000,"545 Washington Blvd.","Jersey City","NJ","2/18/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"HEDGE COMPLIANCE",85000,"277 PARK AVENUE","NEW YORK","NY","1/11/21","Certified - Withdrawn","Financial Analysts","H-1B"
"INVESTMENT BANKING ANALYST",85000,"383 MADISON AVENUE","NEW YORK","NY","5/3/21","Certified - Withdrawn","Financial Analysts","H-1B"
"INVESTMENT BANKING ANALYST",90000,"383 MADISON AVENUE","NEW YORK","NY","3/15/21","Certified - Withdrawn","Financial Analysts","H-1B"
"Java Software Engineer Lead",136000,"8181 Communications Pkwy ","Plano","TX","3/22/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Lead Software Engineer",140000,"1111 Polaris Parkway","Columbus","OH","10/2/23","Certified","Software Developers","H-1B"
"Manager, Asset Liability Management",190000,"1888 Century Park East","Los Angeles","CA","7/2/23","Certified - Withdrawn","Financial Managers","H-1B"
"Operations Oversight",91000,"70 Fargo Street","Boston","MA","10/1/21","Certified - Withdrawn","Management Analysts","H-1B"
"PRODUCT DEVELOPMENT ASSOCIATE",106000,"383 MADISON AVENUE","NEW YORK","NY","8/30/21","Certified - Withdrawn","Financial Analysts","H-1B"
"PRODUCT MANAGER",143685,"3223 HANOVER STREET","PALO ALTO ","CA","3/1/22","Certified - Withdrawn","Information Technology Project Managers","H-1B"
"Quant Analytics Associate Sr",107000,"201 N Walnut St","Wilmington","DE","3/28/24","Certified","Data Scientists","H-1B"
"Quant Analytics Associate Sr",107000,"201 N Walnut St","Wilmington","DE","3/28/24","Certified","Data Scientists","H-1B"
"Quant Analytics Associate Sr.",98000,"201 N Walnut Street","Wilmington","DE","3/25/21","Certified - Withdrawn","Market Research Analysts and Marketing Specialists","H-1B"
"Quant Analytics Manager",125000,"8181 Communications Parkway","Plano","TX","12/14/23","Certified","Operations Research Analysts","H-1B"
"Quant Analytics Sr Associate",125000,"8181 Communications Pkwy","Plano","TX","2/12/24","Certified","Financial Quantitative Analysts","H-1B"
"Quant Analytics Sr Associate",145000,"480 Washington Blvd","Jersey City","NJ","12/4/23","Certified","Operations Research Analysts","H-1B"
"QUANTITATIVE RESEARCH ASSOCIATE",125000,"383 MADISON AVENUE","NEW YORK","NY","1/3/22","Certified - Withdrawn","Financial Analysts","H-1B"
"Risk Strategic Analytics Associate",95000,"201 N. Walnut St.","Wilmington","DE","10/1/21","Certified - Withdrawn","Operations Research Analysts","H-1B"
"Security Engineer",124000,"10420 Highland Manor Dr.","Tampa","FL","12/19/23","Certified","Software Developers","H-1B"
"Senior Associate, Quantitative Analytics",135000,"8181 Communications Pkwy","Plano","TX","12/12/23","Certified","Management Analysts","H-1B"
"SENIOR PRODUCT ANALYST",99960,"575 WASHINGTON BOULEVARD","JERSEY CITY","NJ","8/13/21","Certified - Withdrawn","Management Analysts","H-1B"
"Senior Software Engineer",161500,"3223 Hanover Street","Palo Alto","CA","6/30/22","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Site Reliability Engineer",147500,"350 Convention Way","Redwood City","CA","10/1/21","Certified - Withdrawn","Computer Systems Engineers/Architects","H-1B"
"SITE RELIABILITY ENGINEER",175000,"350 CONVENTION WAY","REDWOOD CITY","CA","1/3/22","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Software Engineer",140000,"8181 Communications Pkwy","Plano","TX","2/1/24","Certified","Software Developers","H-1B"
"Software Engineer",95000,"6415 South 3000 East","Holladay","UT","11/1/23","Certified","Software Developers","H-1B"
"Software Engineer",95000,"6415 South 3000 East","Holladay","UT","4/3/24","Certified","Software Developers","H-1B"
"Software Engineer",125400,"8181 Communications Pkwy","Plano","TX","11/1/23","Certified","Software Developers","H-1B"
"SOFTWARE ENGINEER",130000,"1301 2ND AVENUE","SEATTLE ","WA","12/14/20","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Software Engineer",130000,"575 Washington Blvd.","Jersey City","NJ","3/8/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Software Engineer",155000,"8181 Communications Parkway","Plano","TX","9/28/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"SOFTWARE ENGINEER",120000,"8181 COMMUNICATIONS PARKWAY","PLANO","TX","10/4/21","Certified - Withdrawn","Software Quality Assurance Engineers and Testers","H-1B"
"SOFTWARE ENGINEER",135000,"575 WASHINGTON BOULEVARD","JERSEY CITY","NJ","5/3/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"SOFTWARE ENGINEER",140000,"575 WASHINGTON BOULEVARD","JERSEY CITY","NJ","5/10/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"SOFTWARE ENGINEER",111800,"8181 COMMUNICATIONS PARKWAY","PLANO","TX","5/31/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"SOFTWARE ENGINEER",140000,"575 WASHINGTON BOULEVARD","JERSEY CITY","NJ","3/12/21","Certified - Withdrawn","Software Developers, Systems Software","H-1B"
"SOFTWARE ENGINEER",100000,"500 STANTON CHRISTIANA ROAD","NEWARK","DE","4/19/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Software Engineer",147500,"350 Convention Way","Redwood City","CA","10/1/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"SOFTWARE ENGINEER",135000,"301 NORTH WALNUT STREET","WILMINGTON","DE","9/13/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"SOFTWARE ENGINEER",120000,"2777 LAKE VISTA DRIVE","LEWISVILLE","TX","5/21/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"SOFTWARE ENGINEER",130000,"575 WASHINGTON BOULEVARD","JERSEY CITY","NJ","7/30/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Software Engineer III",135400,"8181 Communications Pkwy","Plano","TX","6/5/24","Certified","Software Developers","H-1B"
"Software Engineer III",135400,"8181 Communications Pkwy","Plano","TX","6/5/24","Certified","Software Developers","H-1B"
"Software Engineer III",156500,"383 Madison Ave","New York","NY","4/22/24","Certified","Software Developers","H-1B"
"SOFTWARE ENGINEERING",120000,"575 WASHINGTON BOULEVARD","JERSEY CITY","NJ","5/17/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"SOFTWARE ENGINEERING",118600,"8181 COMMUNICATIONS PARKWAY","PLANO","TX","9/10/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Strategic Analytics",82000,"8181 Communications Pkwy","Plano","TX","10/30/23","Certified","Financial Risk Specialists","H-1B"
"TRADE LIFECYCLE ANALYST ",72363,"4 CHASE METROTECH CENTER","BROOKLYN","NY","6/22/21","Certified - Withdrawn","Financial Analysts","H-1B"
"Trading and Structuring Associate",140000,"383 MADISON AVENUE","NEW YORK","NY","8/8/21","Certified - Withdrawn","Financial Quantitative Analysts","H-1B"
"Trading Services Associate II",108000,"383 Madison Avenue","New York","NY","5/22/24","Certified","Operations Research Analysts","H-1B"
"Vice President",152500,"4 Chase, MetroTech Center","Brooklyn","NY","12/17/23","Certified","Financial and Investment Analysts","E-3 Australian"
"VICE PRESIDENT",160000,"383 MADISON AVENUE","NEW YORK","NY","8/26/21","Certified - Withdrawn","Financial Quantitative Analysts","H-1B"
"Vice President",145000,"545 Washington Boulevard","Jersey City","NJ","5/14/21","Certified - Withdrawn","Operations Research Analysts","H-1B"
"VICE PRESIDENT",135000,"10 SOUTH DEARBORN STREET","CHICAGO","IL","10/5/20","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Vice President",160000,"4 Chase Metrotech Center","Brooklyn","NY","3/1/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"VICE PRESIDENT - APPLIED AI ML LEAD",168000,"383 MADISON AVENUE","NEW YORK","NY","9/11/21","Certified - Withdrawn","Computer and Information Research Scientists","H-1B"
"VICE PRESIDENT ARCHITECT",160000,"880 POWDER MILL ROAD","WILMINGTON","DE","10/25/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"VICE PRESIDENT SOFTWARE ENGINEER",150000,"8181 COMMUNICATIONS PARKWAY","PLANO","TX","11/8/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Vice President,  Senior Lead Software Engineer",135900,"1111 Polaris Pkwy","Columbus","OH","2/2/24","Certified","Software Developers","H-1B"
"Vice President, Agility Lead",127000,"1111 Polaris Pkwy","Columbus","OH","5/10/24","Certified","Software Quality Assurance Analysts and Testers","H-1B"
"Vice President, AI Research Lead",193800,"3223 Hanover Street","Palo Alto","CA","5/24/24","Certified","Operations Research Analysts","H-1B"
"Vice President, Application Support Engineer",133100,"880 Powder Mill Rd","Wilmington","DE","5/14/24","Certified","Software Developers","H-1B"
"Vice President, Applications Support",151000,"600 Travis St","Houston","TX","5/30/24","Certified","Software Developers","H-1B"
"Vice President, Applications Support",146100,"1111 Polaris Parkway","Columbus","OH","5/8/24","Certified","Software Developers","H-1B"
"Vice President, Applications Support",137400,"1111 Polaris Parkway","Columbus","OH","5/23/24","Certified","Computer Systems Engineers/Architects","H-1B"
"Vice President, Applications Support",145000,"1111 Polaris Parkway","Columbus","OH","6/4/24","Certified","Information Technology Project Managers","H-1B"
"Vice President, Applied AI ML Lead",215000,"575 Washington Blvd","Jersey City","NJ","11/20/23","Certified","Software Developers","H-1B"
"Vice President, Architect",155000,"1201 3rd Ave"," Seattle","WA","5/18/22","Certified - Withdrawn","Information Security Analysts","H-1B"
"Vice President, Architecture",172000,"600 Travis St","Houston","TX","4/25/24","Certified","Database Architects","H-1B"
"Vice President, Architecture",172000,"600 Travis St","Houston","TX","4/25/24","Certified","Database Architects","H-1B"
"Vice President, Asset Management",225000,"277 Park Avenue","New York","NY","3/21/24","Certified","Investment Fund Managers","E-3 Australian"
"Vice President, Audit Director",170000,"8181 Communications Parkway","Plano","TX","5/25/24","Certified","Accountants and Auditors","H-1B"
"Vice President, Auditor",150000,"480 Washington Boulevard","Jersey City","NJ","1/1/24","Certified","Accountants and Auditors","E-3 Australian"
"Vice President, Auditor",150000,"480 Washington Boulevard","Jersey City","NJ","4/3/24","Certified","Accountants and Auditors","E-3 Australian"
"Vice President, Business Analysis",163238,"575 Washington Blvd","Jersey City","NJ","3/8/24","Certified","Business Intelligence Analysts","H-1B"
